review_score,review_comment_message,product_category_name
5,muito bom entregaram antes do prazo que a empresa continue assim ,esporte_lazer
5,Entregue antes do prazo.... material muito boa ,bebes
5,Ótimo entregue no prazo,beleza_saude
5,tudo certo....,eletrodomesticos
3,"O kit é lindo. Porém nao veio fofinho por dentro, sem forro.",cool_stuff
5,Bom.,cama_mesa_banho
4,"É a primeira vez que faço compra pela internet, pois até então não me sentia seguro,pois alguns amigos que fizeram tiveram problemas para receber seus produtos, mas resolvi arriscar e deu certo",automotivo
5,Super recomendo. Entregaram antes do prazo otimo,eletrodomesticos
5,Ótimo produto ,ferramentas_jardim
5,Muito bom,perfumaria
5,"loja muito responsavel,entrega muito rapido antes da data marcada..",esporte_lazer
5,ENTREGA SUPER RÁPIDA. PARABÉNS A LOJA E OS CORREIOS.,informatica_acessorios
5,"entrega super rapida, tudo ok",pet_shop
2,"Comprei duas manta so foi entregue uma,e na nota fiscal veio emitida as 2 manta king",cama_mesa_banho
5,Amei!!!,beleza_saude
1,Mais de mês e o produto não foi entregue.,utilidades_domesticas
5,Produto muito bom recomendo.....,telefonia
1,As peneiras vieram quebradas. Estou tentando contato com vcs e não consigo. Como faço a troca?,utilidades_domesticas
4,"Veio tudo certinho e antes da data prevista.Apenas 1 pequeno pedaço da árvore veio c/ a madeira comida,vou tentar preencher c/ pó de madeira,próximo ao aniversário irei montar as peças e ver melhor.",artes
5,Adoramos e coube certinho em nosso sofá ,cama_mesa_banho
5,"Ele tem uma aparência de material diferente do que mostra as fotos, mas igualmente é lindo, leve e prático até de limpar.",moveis_decoracao
5,Chegou a mercadoria antes do prazo,relogios_presentes
4,produto veio amassado,utilidades_domesticas
1,Muita demora na entrega. ,cama_mesa_banho
3,preciso de ajuda este meu produto veio quebrado e desde que recebi estou entrando em contato com vocês e não tive nenhuma resposta.preciso de ajuda por favor ou vou procurar outros recursos me ajudem.,beleza_saude
1,Paguei por 2 unidades do Perfume Miss Gabriela Night e recebi apenas 1 unidade.,cama_mesa_banho
5,"Tudo ok , eu recomendo a todos ",automotivo
5,muito pontual produto entregue certo de acordo com a compra,moveis_escritorio
2,"Produto conforme anunciado, porém entrega muito demorada, comprei para o dia das mães e chegou depois.",perfumaria
1,Quero saber se foi cancelada só isso!,eletronicos
3,O produto é de ótima qualidade só que tive que buscar nos correios e não foi pra minha residência ,esporte_lazer
4,"O produto foi entregue super rápido! Porém não foi entregue dourado conforme informado, e sim prateado! Não irei devolver porque sei que a demora será um transtorno.",utilidades_domesticas
5,Muito satisfeito,fashion_bolsas_e_acessorios
5,"O produto foi entregue muito antes do prazo, em perfeitas condições",informatica_acessorios
4,"Produto entregue antes do prazo limite, de fácil rastreabilidade e embalagens adequadas.",informatica_acessorios
4,O prazo de entrega poderia ter sido um pouco menor.,livros_interesse_geral
4,Ótimo,perfumaria
5,"Primeira vez que comprei lente de contato pela stark e adorei, pois comprava em um ótica e demorava a entrega. Muito bom 👏👏👏",beleza_saude
4,Bom,telefonia
5,"Pendente muito bacana ! Bonito, muito bem feito ! Recomendo!",moveis_decoracao
5,"Entrega dentro do prazo, até antes. Preços bons, e loja confiável! Além do produto ser real ao da foto da venda.",moveis_decoracao
5,Excelente gostei o produto chegou antes do prazo,esporte_lazer
1,"Pedido entregue incompleto.
Solicitado 2 faixas.
Recebido somente 1.
Como proceder?",beleza_saude
5,"Ótimo produto, entrega antes do prazo. Recomendo!",utilidades_domesticas
5,"Tudo certo, recomendo sim, valeu.",cama_mesa_banho
5,Ótima ,construcao_ferramentas_construcao
1,"Péssima qualidade do produto
",cama_mesa_banho
1,A loja disse que entregaria em 8 dias entregou em 22 dias,brinquedos
5,No mercado existe oferta do mesmo produto com preços bem mais em conta.,alimentos_bebidas
5,"todas compras feitas, eu recebo no prazo, ótimo atendimento.",cama_mesa_banho
5,"O produto está de acordo com a propaganda, foi entregue muito bem embalado e no prazo.",utilidades_domesticas
3,Não gostei de pagar frete já q não entregou na minha casa e condições de parcelamento q não mostra se foi ativada.,beleza_saude
1,Zero responsabilidade,relogios_presentes
5,Tudo certinho,beleza_saude
1,"Comprei um relógio e na descrição do produto estava acompanhando a caixinha e não veio. Me senti enganada! Enviei email e não tive retorno.
A descrição do produto deve ser real para os consumidores.",relogios_presentes
5,aprovado,beleza_saude
5,Gostei do produto bem resistente aparentemente ainda não usei.,cama_mesa_banho
4,muito boa.,beleza_saude
1,Não obtive nenhuma resposta do site em relação ao atraso da entrega do produto,beleza_saude
5,Bonito prático super indico ,bebes
5,O produto é muito bom e foi entregue bem antes do prazo prometido.,automotivo
3,"Ainda não recebi o produto, esta bem atrasado, nao recebi nenhuma satisfação ainda.",automotivo
5,Estão de parabéns....,perfumaria
5,adorei ,beleza_saude
5,amo lannister ,cool_stuff
4,É SEMPRE O PRAZER COMPRAR NA AS lannister......,fashion_bolsas_e_acessorios
1,Não recebi meu produto ainda,esporte_lazer
1,Descumprimento de entrega em produto alimentício ,esporte_lazer
5,Prazo certo e bom produto.,relogios_presentes
1,Nap recebi o prodito ate hoje,papelaria
5,Recomendo a loja produto entregue correto e antes do prazo! ,utilidades_domesticas
5,Ok,ferramentas_jardim
5,Excelente,beleza_saude
4,AINDA NÃO CHEGOU OS OUTROS PRODUTOS,esporte_lazer
5,Entrega antes do prazo. Produto OK,esporte_lazer
3,"Foi a única loja onde encontrei o kit completo e montado, mas a peça veio muito mal embalada, a caixa chegou totalmente rasgada e a ponta do eixo apresenta defeito de fabricação que tentaram mascarar.",eletrodomesticos
3,não enviaram a nota fiscal.,perfumaria
5,Produto conforme pedido.,relogios_presentes
5,"otimo produto, entrega antes do previsto",moveis_decoracao
5,Parceiro muito rápido e eficiente. Recomendo.,cama_mesa_banho
3,O produto não é bom.,ferramentas_jardim
3,Fiquei muito satisfeito com a qualidade e os acabamentos do colar. Só não dei 5 estrelas pois no anuncio falava que a cor do produto era PRATA e chegou para mm GRAFITE. ,fashion_bolsas_e_acessorios
5,produto de excelente qualidade,fashion_calcados
3,recebi um produto que não era o meu,brinquedos
5,"Produto chegou antes do prazo estipulado, correto e de ótima qualidade. Aprovado.",informatica_acessorios
5,chegou antes do prazo. Bom serviço,fashion_roupa_feminina
5,"Boa tarde, gostei de ter comprado, o material é bom, e em questão da entrega também, chegou bem antes do prazo. Meu muito obrigada.",cool_stuff
5,"O produto, além de ser de ótima qualidade, foi entregue antes do tempo previsto.",moveis_escritorio
1,ainda năo recebi meu produto,beleza_saude
5,Muito bom ,moveis_decoracao
4,recomendo chego dentro do prazo e o cheio do produto é bom e suave.,beleza_saude
5,Recebi antes do prazo. Agradavelmente surpreso. Super-recomendo.,industria_comercio_e_negocios
5,foi entregue antes do prazo adorei,fashion_underwear_e_moda_praia
1,COMPREI O PRODUTO COM UM KIT COM 3 E ME FOI ENTREGUE SOMENTE UM FRASCO.,esporte_lazer
4,Recebi dentro do prazo,beleza_saude
5,Dentro do prazo e com a qualidade desejada.,ferramentas_jardim
5,"A mochila é linda e consideravelmente grande, sua parte maior cabe um notebook e vários cadernos, além disso ela tem bolsos menores para colocar vários objetos. Estou satisfeita com minha aquisição.",papelaria
1,Não recebi meu produto e ainda não respondem meus contatos. Horrível essa loja ,relogios_presentes
5,"chegou em perfeito estado, amei o produto! Super recomendo.",cama_mesa_banho
4,"Apesar de ser presente, a minha esposa gostou muito e considerou um produto muito bom de qualidade, veio os 32 pinseis dentro do prazo de entrega. ",perfumaria
1,"comprei o produto para usar na festa de 15 anos da minha filha. O produto não chegou. Contratempos, chateações, improviso, foi o que me restou",cama_mesa_banho
5,Atencioso.,esporte_lazer
1,"Foi entregue apenas 1 e eu comprei 2.
Conforme nota",automotivo
3,estou satisfeita com a compra.,construcao_ferramentas_seguranca
5,"Tudo perfeito, entregou antes do previsto e produto era o mesmo da foto e descrição ",bebes
5,Produto foi entregue dentro do prazo e foi mais rápido do que eu pensava! Amei!! ,fashion_bolsas_e_acessorios
4,Chegou antes do prazo,moveis_escritorio
5,produto muito bom,eletrodomesticos
5,Adorei o produto e chegou super rapido.,cama_mesa_banho
1,"não chegou ainda a encomenda, o motivo deve ser o correio!",moveis_decoracao
5,A entrega do produto chegou bem antes do prazo! E o produto veio todo lacrado. Parabéns a loja!,bebes
5,Produto está em conformidade com o esperado e dentro da qualidade,cool_stuff
5,"Entrega rápida. ...tudo OK 
",relogios_presentes
5,Produto de acordo conforme combinado. Produto entregue no prazo e atendeu a minha necessidade.,eletronicos
5,Tudo de bom.,automotivo
5,Gostei muito fiwuei sagisfeita,perfumaria
5,ótimo,esporte_lazer
3,Recebi no prazo. Produto inferior ao mostrado no site. Não gostei.,cama_mesa_banho
5,Excelente produto e entrega antecipada.,malas_acessorios
5,Recomendo ,beleza_saude
5,"ótimo produto e ótima loja para comprar pelo site, honestíssima. ",perfumaria
1,O vendedor não entregou o produto. Pedi à lannister que fizesse as devidas cobranças.,cama_mesa_banho
5,Gostei e recomendo ....loja 100% confiavel,beleza_saude
5,Produto com excelente qualidade. ,cama_mesa_banho
5,"obrigado, recebi antes do prazo previsto",telefonia_fixa
5,"A mangueira é boa! Leve, e com opção de ajuste assim sendo ajuda na economia de água. Aprovada! ",ferramentas_jardim
2,recomendo demais,tablets_impressao_imagem
4,"Ótimo produto,atendeu bem as minhas necessidades,apesar de ter chegado 5 dias após o prazo estipulado no ato da compra,valeu a pena pela qualidade e bom preço.",perfumaria
5,gostei muito linda,cama_mesa_banho
5,Amei a tesoura com corte preciso recomendo para quem quer uma tesoura de qualidade entrega rapida,beleza_saude
1,"O produto foi até postado no prazo, mas desde 11/12 os correios informaram que o objeto não chegou, enviei email para a targaryen no dia seguinte e até agora nenhum retorno.",beleza_saude
5,"Bom dia,
Eu me arrependi dessa compra e gostaria de devolver. COmo eu faço?",bebes
3,"Fiz o pedido de duas unidades, mas recebi somente uma unidade. Não sei se os produtos foram enviados separadamente, mas até o momento não recebi uma das unidades.",instrumentos_musicais
5,"Chegou antes do praso previsto, recomendo.
Chegou tudo como o esperado!!!",brinquedos
5,Produto de boa qualidade e bonito.,casa_conforto
4,"Bom, entrega no prazo",relogios_presentes
5,"Entrega rápida e eficiente,produto de qualidade.",esporte_lazer
1,Meu produto ainda não foi entregue e os correios notificaram que não chegou lá ainda,industria_comercio_e_negocios
4,Bonitos os relógios mas o dourado deveria estar especificado a cor no tom do dourado !!!! Mas ele e muito bonito. ,relogios_presentes
1,Ate o presente momento nao recebi meu produto acho uma falta de respeito com o cliente,relogios_presentes
5,Melhor site de compras,cool_stuff
3,Meu pedido veio errado. No aguardo da correção. ,fashion_bolsas_e_acessorios
2,"O microfone não está funcionando. Tá com um som muito baixo e estranho. O que fazer para utilizar a garantia?
",eletronicos
1,"Não foi o produto que comprei pelas lannister, recebi duas extensões de cabo HDI.",eletronicos
1,"Não recomendo o produto, veio rasgado, não corresponde à qualidade do produto do site.
Se pudesse gostaria do dinheiro de volta.",cama_mesa_banho
5,"muito bom a entrega no prazo gostei. nao tem do que reclamar vou compra mas 
a partis do dia 23.







 ",moveis_decoracao
5,A entrega foi antes.do prazo muitobom,esporte_lazer
4,"Apenas achei a cor muito diferente do anúncio, mas sem problemas! Produto de boa qualidade ",cama_mesa_banho
5,Produto chegou antes da data prevista muito bem embalada. Perfeito 👍 ,perfumaria
1,desejo receber o produto que comprei,utilidades_domesticas
5,otimo atendimento. recomendo.,moveis_cozinha_area_de_servico_jantar_e_jardim
5,Entrega antes do Prazo,perfumaria
2,"Podia melhorar, por que eu tive que buscar nos correios e eu queria receber em casa",telefonia
5,Boa!,cama_mesa_banho
5,"São lindos, como na foto!",bebes
5,"Muito bom ao serviço, a qualidade do produto é ótima.",utilidades_domesticas
5,Ótima carteira muito bom . recomendo a todos comprar !,fashion_bolsas_e_acessorios
5,produto entregue dentro do prazo e de acordo com o escolhido.,esporte_lazer
4,"Apesar da tinta na cor azul ter vindo vazando, perdeu só um pouco de tinta, no geral gostei da compra, recomendo, mais toma mais cuidado no controle de qualidade dos produtos.
Obrigado.
",informatica_acessorios
5,Bom produto recomendo chegou certinho.,informatica_acessorios
1,"Foi anunciado um produto e veio outro, totalmente inferior ao que eu comprei, enviei um e-mail para lannister e até agora não se resolveu nada !!!!!",informatica_acessorios
5,sempre compro nesse site nunca tive problemas,cama_mesa_banho
5,hoje dia 12 recebi agora mesmo a outra cupula do abajur que tinha comprado e só vindo uma.depois que reclamei e fui bem atendida a cabado de receber a outra cúpula ...agradeço a atenção todos.Rosa,moveis_decoracao
5,"Muy buena

",relogios_presentes
5,pendente grande muito lindo peguei o preto e amei,ferramentas_jardim
4,Produto bonito e funcional. Entrega bem antes do prometido,relogios_presentes
2,"Produto errado.
Descrição dizia com Bluetooth e atendia ligações de até 2 celulares. 
O produto que chegou não faz isso, não vou trocar para não me incomodar mais, azar...",telefonia_fixa
5,"Foi td perfeito, prazo, produto e entrega.",eletronicos
5,"Recomendadíssimo, ótimo produto e entrega muito rápida e eficiente.",beleza_saude
5,Chegou bem antes do prazo.,cool_stuff
5,otimo produto,cama_mesa_banho
1,O produto veio faltando.. Comprei 2 unidade veio só uma e agora?,beleza_saude
5,"entregue no prazo conbinado
",cama_mesa_banho
2,Muita demora na entrega.,beleza_saude
5,Estou satisfeita,malas_acessorios
2,"Fiz a compra dia 06/08 /2018 não no dia 16/08, era pra ter cido do entregue dia 15/08 . Estou apressada pelo produto pois já estou prestes a dar a luz. Estou na espera.
",bebes
5,"recebi no prazo, corretamente e facilidade em comprar e pagar",climatizacao
4,"Recomendo, entrega no prazo e produto bom.",relogios_presentes
5,"Muito boa a compra, dentro do prazo.",perfumaria
4,"Produto lindo, muito bom, gostei muito. acima do esperado ",fashion_bolsas_e_acessorios
4,"Infelizmente o produto não era o q eu queria, as dimensões nao e informada do produto . ",utilidades_domesticas
4,tapete muito fino...bonito mas podia ser mais grossa a parte de baixo.,casa_conforto
5,"Gostei do produto, a entrega foi rápida, ótimo!!",ferramentas_jardim
5,Agradeço pela entrega do produto.,cama_mesa_banho
5,Show de bola para empresa... não me encontraram e me ligaram pra efetuar a entrega. Nota 10.,papelaria
1,"Comprei este nobreak com 6 tomadas e me entregaram um de 4 tomadas que é bem inferior referente ao preço, estou tentando contato e não obtive resposta vou recorrer ao Procon. ",informatica_acessorios
2,produto chegou no prazo porem veio quebrado,perfumaria
5,Veio tudo direitinho. ,informatica_acessorios
5,"ÓTIMO SERVIÇO , RÁPIDO E EFICIENTE",telefonia_fixa
5,cHEGOU E ESTÁ TUDO OK.,relogios_presentes
5,"Produto idêntico a da foto, e entrega rápida. Comprei num sábado e recebi numa terça, superou minhas expectativas, pois o prazo era de até 12 dias úteis e recebi em 2 dias úteis.",papelaria
5,"Entregue no prazo , sem problemas",beleza_saude
3,"As cortinas são bonitas, porem o material não é dos melhores, e o acabamento deixa um pouco a desejar. Mas no geral deixa o ambiente mais elegante. ",cama_mesa_banho
5,Entrega ante do prazo e produto correto.,informatica_acessorios
3,O cabo chegou no prazo tá tudo certo Por enquanto vou testá-lo para ver a qualidade do produto,eletronicos
5,"Muito satisfeita produto entregue antes do prazo, obrigada ",esporte_lazer
5,"Atendimento muito bom.
",relogios_presentes
5,"o relógio é simplesmente lindíssimo! Não sei se é durável, entretando é maravilhoso o produto.",relogios_presentes
4,Loja otima,perfumaria
1,"Comprei 3 luminárias, só recebi 2. Já abrir chamado e não tive resposta.",moveis_decoracao
4,"gostei do preço, e um produto com selo do Inmetro pra criança 1 á 4 anos. ",brinquedos
5,Entregou antes do prazo.Produto de ótima qualidade .Super recomendo,moveis_decoracao
5,SUCESSO :D,relogios_presentes
1,"Faltou a metade do pedido, ou seja, as fronhas em número de oito da cor bronze não foram enviadas.",cama_mesa_banho
5,Muito bom!!! Chegou bem antes do tempo previsto!!!,malas_acessorios
5,Tudo certo,beleza_saude
1,"No anúncio feito no site cada kit contém um rolo fusor e um pressor, pedi dois e veio somente um na caixa, na nota fiscal estava marcada dois kits.",informatica_acessorios
4,"É grande, O produto vêm com cor bem diferente da foto cinza x azul. Almofada bem singela.",pet_shop
5,chegou no prazo.. bom produto,informatica_acessorios
5,"Ficamos muito satisfeitos com o pedido, visto que o mesmo foi entregue antes do prazo previsto e cumprindo todos os ítens acordados.",ferramentas_jardim
1,Deveriam contratar transportadora e não correio até o momento não recebi minha encomenda ,cama_mesa_banho
4,"Tudo chegou rapidamente, bem embalado.",utilidades_domesticas
5,recebi no tempo certo.obrigado.,perfumaria
4,Não sei 5 estrelas pq não testei ainda. Mas me parece tudo certo,construcao_ferramentas_ferramentas
1,"Desde que comprei vinha tentando cancelar, mas agora que ja recebi, vou ficar com o produto, stark e targaryen, pessimo atendimento, nao possuem sac!!",relogios_presentes
3,Um bom produto. ,utilidades_domesticas
5,Na minha opinião a loja foi eficaz e até mesmo antecipou a entrega que foi feita bem antes do prazo programado!,papelaria
5,Tudo nos conformes recebido direito ,bebidas
5,O produto chegou muito antes do prometido. Superou as expectativas,ferramentas_jardim
5,"Produto chegou no prazo, em perfeito estado. Recomendo!",eletrodomesticos
5,"Fiquei muito satisfeita com a compra, facilidade e entrega rápida.",cool_stuff
5,Veio perfeito do feito que eu queria super recomendo.,cama_mesa_banho
5,Fiquei muito satisfeita. ,climatizacao
5,Chegou no prazo e em ótimas condições. Parabéns.,esporte_lazer
5,excelente,informatica_acessorios
3,O case chegou com dois arranhões infelizmente.,telefonia
5,Recebi o produto dentro do prazo em perfeitas condições!,perfumaria
5,otima,utilidades_domesticas
5,Perfeito cores vivas eu simplismente ameei,artes
4,"Chegou bem antes do prazo, está funcionando perfeitamente, porém veio na voltagem errada, comprei 110 e veio 220, agora vou vê como faço pra trocar ",beleza_saude
5,"OBRIGADA ,FUI BEM ATENDIDA",cama_mesa_banho
3,"O lençol não é o que parece.....achei q era percal cem por cento algodão, e não é, como dizia profissional imaginei os lençóis de hotéis ",cama_mesa_banho
1,"Recebi apenas uma garrafa do produto Limoncello Italiano Premium Coppo 700 ml
",bebidas
4,Satisfeito com o meu produto e tb entregue dentro do prazo. ,utilidades_domesticas
5,"Muito bom, Recomendo",relogios_presentes
5,Excelente site de compras!!!!,cama_mesa_banho
5,"Recomendo!
Valeu
Beijo",telefonia
4,"Recebi a película, agora só falta receber o telefone celular para testá-la.",telefonia
5,"Entrega super rápida, antes do prazo, super recomendo.",cama_mesa_banho
5,"Ameiii o produto lindo, assim como esperava .",pet_shop
4,"PRODUTO CHEGOU ANTES DO ESPERADO POREM VEIO COM ARRANHÕES NA TAMPA DE ACRILICO, GOSTARIA DE SABER COMO PROCEDER... ",informatica_acessorios
2,nao recebi o produto,moveis_decoracao
5,"Protudo chegou em ótimo estado de conservação, e antes do prazo!",informatica_acessorios
4,A entrega foi bem antes de o esperado! Mas o produto é menor do que medi e imaginei...,fashion_underwear_e_moda_praia
5,"Super recomendo, chegou antes do prazo estimado.",relogios_presentes
3,Tenho uma observação à fazer. A seladora veio com um dos parafusos quebrado.,utilidades_domesticas
5,"lindo produto, superou minhas expectativas, ótimo acabamento.",ferramentas_jardim
2,Vou precisar trocar o produto porque a cor da lâmpada está errada.,casa_construcao
1,Compra feita a mais de 10 dias e não foi entregue ainda,ferramentas_jardim
4,Muito bom chegou antes do prazo,cool_stuff
4,"O produto cumpre totalmente com o que o fabricante promete.
O que me deixou insatisfeito foi o fato de não ter sido entregue pela targaryen, chegou pelos correios com a caixa toda amassada, sem proteção.",consoles_games
5,Tô santfeita por chegar 12 dias antes. Mais a cafeteira ainda não chegou era para chega dia 6/8,fashion_calcados
5,fiquei muito satisfeita.,perfumaria
5,"macio, regulável, muito confortavel",cama_mesa_banho
5,Muito bom!,automotivo
3,Obrigado,utilidades_domesticas
4,Otimo.,informatica_acessorios
5,Tudo como descrito e combinado.,automotivo
5,Recebi o produto correto e muito antes do prazo 😍,esporte_lazer
5,Amei o produto. ,perfumaria
1,"RECEBI O PRODUTO ERRADO, SOLICITO A TROCA",fashion_bolsas_e_acessorios
5,Excelente!,beleza_saude
5,Recebi antes do prazo e o produto é melhor do que eu esperava.,moveis_decoracao
5,Super recomendo .,informatica_acessorios
2,"Veio faltando 1 kit de pendentes!!!!! Aguardando a solução. Eu pedi e paguei por 2 kits, ou seja 4 pendentes!!!!",moveis_decoracao
5,"Excelente, entrega dentro prazo. ",ferramentas_jardim
1,"Tapete veio com defeito,com uma mancha branca.
Pois o mesmo é cinza escuro , e fica bem visível o defeito.
Realmente fiquei muito triste com produto que tanto sonha em ter em perfeita condições.
",casa_conforto
3,Produto com baixa qualidade.,cama_mesa_banho
5,Produto excelente. Muito melhor do que eu esperava. Chegou antes do prazo e tudo certo.,alimentos_bebidas
3,A caixa veio furada. Fiquei preocupado com a integridade do produto mas estava tudo normal.,market_place
4,Entrega no prazo certo,informatica_acessorios
1,"Faltam as instruções, nem em inglês tem. Não consigo nem colocar as baterias, o plug de energia na lanterna não deixa entrar",sinalizacao_e_seguranca
5,"Site confiável, entrega foi realizada antes do prazo máximo.",esporte_lazer
5,recomendo,esporte_lazer
5,Excelente! O produto veio e foi rápido na entrega! Parabéns!,telefonia
4,Cortina exatamente como no pedido.,cama_mesa_banho
